s/n,ZONE,REGION,DIVISION
1,Central- Western Zone,Tarkwa,Tarkwa div
2,Central- Western Zone,Tarkwa,Enchi
3,Central- Western Zone,Tarkwa,Asankragua
4,Central- Western Zone,Takoradi,Takoradi div
5,Central- Western Zone,Takoradi,Axim
6,Central- Western Zone,Takoradi,Half Assini
7,Central- Western Zone,Cape Coast,Cape Coast div
8,Central- Western Zone,Cape Coast,Swedru
9,Central- Western Zone,Cape Coast,Assin Fosu
10,Central- Western Zone,Cape Coast,Mankessim
11,Central- Western Zone,Cape Coast,Winneba
12,Central- Western Zone,Cape Coast,Elmina
13,Central- Western Zone,Cape Coast,Asikuma
14,Greater Accra Zone,Accra Metro,Accra Metro
15,Greater Accra Zone,Kasoa,Kasoa
16,Greater Accra Zone,Kasoa,Weija
17,Greater Accra Zone,Madina,Madina div
18,Greater Accra Zone,Madina,La Dadekotopon
19,Greater Accra Zone,Tema,Tema div
20,Greater Accra Zone,Tema,Ashaiman
21,Greater Accra Zone,Tema,Teshie-Nungua
22,Greater Accra Zone,Ga Central,Ga-Central
23,Greater Accra Zone,Ga Central,Nsawam
24,Greater Accra Zone,Ga Central,Amasaman
25,Ashanti Zone A,Bibiani,Bibiani div
26,Ashanti Zone A,Bibiani,Wiawso
27,Ashanti Zone A,Bibiani,Essam Debiso
28,Ashanti Zone A,Kumasi South,Kumasi South div
29,Ashanti Zone A,Kumasi South,Bohyen
30,Ashanti Zone A,Obuasi,Obuasi div
31,Ashanti Zone A,Obuasi,Dunkwa
32,Ashanti Zone A,Obuasi,Bekwai
33,Ashanti Zone A,Obuasi,Subin
34,Ashanti Zone A,Obuasi,New Edubiase
35,Ashanti Zone A,Nkawie,Nkawie div
36,Ashanti Zone A,Nkawie,Mankranso
37,Ashanti Zone B,Kumasi North,Kumasi North div
38,Ashanti Zone B,Kumasi North,Offinso
39,Ashanti Zone B,Kumasi North,Asokore Mampong
40,Ashanti Zone B,Mampong,Mampong div
41,Ashanti Zone B,Mampong,Atebubu
42,Ashanti Zone B,Mampong,Effiduase
43,Ashanti Zone B,Mampong,Ejura
44,Ashanti Zone B,Konongo,Konongo div
45,Ashanti Zone B,Konongo,Agogo
46,Ashanti Zone B,Konongo,Juaso
47,Ashanti Zone B,Konongo,Ejisu
48,Middle Belt Zone,Sunyani,Sunyani div
49,Middle Belt Zone,Sunyani,Dormaa Ahenkro
50,Middle Belt Zone,Sunyani,Berekum
51,Middle Belt Zone,Sunyani,Bechem
52,Middle Belt Zone,Sunyani,Sampa
53,Middle Belt Zone,Techiman,Techiman div
54,Middle Belt Zone,Techiman,Kintampo
55,Middle Belt Zone,Techiman,Wenchi
56,Middle Belt Zone,Techiman,Nkoranza
57,Middle Belt Zone,Goaso,Goaso div
58,Middle Belt Zone,Goaso,Mim
59,Middle Belt Zone,Goaso,Kenyase
60,Middle Belt Zone,Goaso,Tepa
61,Eastern-Volta Zone,Koforidua,Koforidua div
62,Eastern-Volta Zone,Koforidua,Akropong
63,Eastern-Volta Zone,Koforidua,Suhum
64,Eastern-Volta Zone,Koforidua,Odumase
65,Eastern-Volta Zone,Akim Oda,Akim Oda div
66,Eastern-Volta Zone,Akim Oda,Donkorkrom
67,Eastern-Volta Zone,Akim Oda,Nkawkaw
68,Eastern-Volta Zone,Akim Oda,Asamankese
69,Eastern-Volta Zone,Ho,Ho div
70,Eastern-Volta Zone,Ho,Akatsi
71,Eastern-Volta Zone,Ho,Keta
72,Eastern-Volta Zone,Ho,Aflao
73,Eastern-Volta Zone,Hohoe,Hohoe div
74,Eastern-Volta Zone,Hohoe,Kpando
75,Eastern-Volta Zone,Hohoe,Nkwanta
76,Eastern-Volta Zone,Hohoe,Krachi
77,Northern Zone,Bolga,Bolga div
78,Northern Zone,Bolga,Bawku
79,Northern Zone,Bolga,Navrongo
80,Northern Zone,Bolga,Walewale
81,Northern Zone,Wa,Wa div
82,Northern Zone,Wa,Tumu
83,Northern Zone,Wa,Bole
84,Northern Zone,Tamale,Tamale div
85,Northern Zone,Tamale,Yendi
86,Northern Zone,Tamale,Damango
87,Northern Zone,Tamale,Salaga
88,Northern Zone,Tamale,Buipe
